area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Licensed Fixed Wireless,0.724540311,0.364568600,0.364568600,0.088401697,0,0.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Licensed Fixed Wireless,0.850777935,0.453323904,0.442715700,0.003889675,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Copper,0.272727273,0.272727273,0.159090909,0.159090909,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Copper,0.272727273,0.272727273,0.159090909,0.159090909,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,All Fixed Wireless,0.659090909,0.318181818,0.318181818,0,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,All Fixed Wireless,0.772727273,0.477272727,0.477272727,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Licensed Fixed Wireless,0.659090909,0.318181818,0.318181818,0,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Licensed Fixed Wireless,0.772727273,0.477272727,0.477272727,0,0,0.000000000
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,4500165,Abney Crossroads,"Abney Crossroads, SC",44,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,All Wired,0.992094862,0.992094862,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,All Wired,0.968379447,0.968379447,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Any Terrestrial,0.992094862,0.992094862,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Any Terrestrial,0.980237154,0.980237154,0.980237154,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,All Wired and Licensed Fixed Wireless,0.992094862,0.992094862,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,All Wired and Licensed Fixed Wireless,0.980237154,0.980237154,0.980237154,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Copper,0.596837945,0.596837945,0.023715415,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Copper,0.011857708,0.011857708,0.003952569,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Cable/Fiber,0.968379447,0.968379447,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Cable/Fiber,0.968379447,0.968379447,0.968379447,0.968379447,0.968379447,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Cable,0.861660079,0.861660079,0.861660079,0.861660079,0.861660079,0.011857708
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Cable,0.861660079,0.861660079,0.861660079,0.861660079,0.861660079,0.011857708
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Fiber,0.632411067,0.632411067,0.632411067,0.632411067,0.632411067,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Fiber,0.632411067,0.632411067,0.632411067,0.632411067,0.632411067,0.632411067
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,All Fixed Wireless,0.019762846,0.003952569,0.003952569,0,0,0.000000000
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,All Fixed Wireless,0.375494071,0.363636364,0.363636364,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Licensed Fixed Wireless,0.019762846,0.003952569,0.003952569,0,0.000000000,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Licensed Fixed Wireless,0.375494071,0.363636364,0.363636364,0,0.000000000,0
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,4500370,Adams Run,"Adams Run, SC",253,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999438360,0.786689132
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.886829542,0.787756248
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,All Wired,0.999606852,0.999550688,0.999550688,0.999438360,0.999438360,0.786689132
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,All Wired,0.965515305,0.935692221,0.924964898,0.892782926,0.886829542,0.787756248
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Any Terrestrial,0.999719180,0.999663016,0.999663016,0.999606852,0.999438360,0.786689132
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Any Terrestrial,0.998371244,0.985734344,0.982083684,0.942656557,0.886829542,0.787756248
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,All Wired and Licensed Fixed Wireless,0.999719180,0.999663016,0.999663016,0.999606852,0.999438360,0.786689132
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,All Wired and Licensed Fixed Wireless,0.998371244,0.985734344,0.982083684,0.942656557,0.886829542,0.787756248
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Copper,0.488570626,0.351305813,0.232181971,0.038023027,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Copper,0.488626790,0.351361977,0.232238135,0.038023027,0,0.000000000
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Cable/Fiber,0.999438360,0.999438360,0.999438360,0.999438360,0.999438360,0.786689132
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Cable/Fiber,0.886829542,0.886829542,0.886829542,0.886829542,0.886829542,0.787756248
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Cable,0.999269868,0.999269868,0.999269868,0.999269868,0.999269868,0.606346532
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Cable,0.790676776,0.790676776,0.790676776,0.790676776,0.790676776,0.606346532
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Fiber,0.329008705,0.329008705,0.329008705,0.329008705,0.329008705,0.329008705
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Fiber,0.331255265,0.331255265,0.331255265,0.331199101,0.331030609,0.330974445
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,All Fixed Wireless,0.929289525,0.782645324,0.782645324,0.556809885,0,0.000000000
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,All Fixed Wireless,0.972479641,0.800336984,0.789553496,0.460488627,0,0.000000000
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Licensed Fixed Wireless,0.929289525,0.782645324,0.782645324,0.556809885,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Licensed Fixed Wireless,0.972479641,0.800336984,0.789553496,0.460488627,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,4500550,Aiken,"Aiken, SC",17805,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,All Fixed Wireless,0.818548387,0.475806452,0.475806452,0.149193548,0,0.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,All Fixed Wireless,0.959677419,0.798387097,0.786290323,0.153225806,0,0.000000000
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Licensed Fixed Wireless,0.818548387,0.475806452,0.475806452,0.149193548,0.000000000,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Licensed Fixed Wireless,0.959677419,0.798387097,0.786290323,0.153225806,0.000000000,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,4500775,Alcolu,"Alcolu, SC",248,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998459959,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.409137577,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,All Wired,0.998973306,0.998973306,0.998459959,0.998459959,0.998459959,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,All Wired,0.919404517,0.785420945,0.410677618,0.409137577,0.409137577,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Any Terrestrial,0.998973306,0.998973306,0.998459959,0.998459959,0.998459959,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Any Terrestrial,0.947638604,0.878336756,0.672484600,0.490759754,0.409137577,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,All Wired and Licensed Fixed Wireless,0.998973306,0.998973306,0.998459959,0.998459959,0.998459959,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,All Wired and Licensed Fixed Wireless,0.947638604,0.878336756,0.672484600,0.490759754,0.409137577,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Copper,0.762833676,0.577002053,0.001540041,0,0.000000000,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Copper,0.762833676,0.577002053,0.001540041,0,0,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Cable/Fiber,0.998459959,0.998459959,0.998459959,0.998459959,0.998459959,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Cable/Fiber,0.409137577,0.409137577,0.409137577,0.409137577,0.409137577,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Cable,0.996919918,0.996919918,0.996919918,0.996919918,0.996919918,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Cable,0.343942505,0.343942505,0.343942505,0.343942505,0.343942505,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Fiber,0.688398357,0.688398357,0.688398357,0.688398357,0.688398357,0.688398357
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Fiber,0.162731006,0.162731006,0.162731006,0.162731006,0.162731006,0.162731006
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,All Fixed Wireless,0.459958932,0.351129363,0.351129363,0.111909651,0,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,All Fixed Wireless,0.641170431,0.528234086,0.526694045,0.122176591,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Licensed Fixed Wireless,0.459958932,0.351129363,0.351129363,0.111909651,0.000000000,0
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Licensed Fixed Wireless,0.641170431,0.528234086,0.526694045,0.122176591,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,4500955,Allendale,"Allendale, SC",1948,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.896318408,0.343084577
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.587993367,0.344477612
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,All Wired,0.975522388,0.956152570,0.914228856,0.899900498,0.896318408,0.343084577
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,All Wired,0.920265340,0.779303483,0.701890547,0.611144279,0.587993367,0.344477612
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,Any Terrestrial,0.991243781,0.969751244,0.944875622,0.919933665,0.896318408,0.343084577
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,Any Terrestrial,0.994228856,0.943018242,0.899104478,0.736053068,0.587993367,0.344477612
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,All Wired and Licensed Fixed Wireless,0.991243781,0.969751244,0.944875622,0.919933665,0.896318408,0.343084577
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,All Wired and Licensed Fixed Wireless,0.994228856,0.943018242,0.899104478,0.736053068,0.587993367,0.344477612
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,Copper,0.760265340,0.524179104,0.281525705,0.048557214,0,0
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,Copper,0.760265340,0.524179104,0.281525705,0.048557214,0,0
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,Cable/Fiber,0.896318408,0.896318408,0.896318408,0.896318408,0.896318408,0.343084577
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,Cable/Fiber,0.587993367,0.587993367,0.587993367,0.587993367,0.587993367,0.344477612
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,R,Cable,0.876815920,0.876815920,0.876815920,0.876815920,0.876815920,0
Total,Census Place,4501360,Anderson,"Anderson, SC",15075,B,Cable,0.259966833,0.259966833,0.259966833,0.259966833,0.259966833,0
